Linha 1-10;a;abbiamo;al;alla;alle;andare;attività;autobus;bar;bevo;caffè;casa;cena;compiti;con;controllo;della;di;divertente;dopo;durante;e;esco;famiglia;film;finisco;forte;giornata;guardato;ho;i;il;iniziare;insieme;l;la;lavoro;le;leggera;lunga;mail;mangio;mattina;mi;nel;ogni;panino;parlato;partecipo;pasta;pausa;per;pianifico;po;pomeriggio;pranzo;prendo;preparato;riunioni;sette;sono;sveglio;tornato;un;una;verdure
Linha 311-320;aperte;cade;cappuccino;composto;decorano;emozionante;fanno;finestre;giovinezza;incontrano;luca;ore;pirata;sente;sottile;studiano;sua;sugo;zucchero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 321-330;amiche;apparecchiano;banane;binario;centrale;cereali;compra;copiano;destinazione;disegno;forti;latte;mazzo;napoli;nasconde;pennarelli;quaderno;rumori;spettacolo;suoni;tre;trucca;uno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 331-340;acceso;accompagnano;aiutano;asciugamano;autunno;bagno;cadono;camino;coniglio;copre;foglie;lavato;liquido;margherite;messo;nonni;passione;piccolo;premurosi;pulito;raccontano;romanziere;sapone;scatola;soffia;specchio;tramonto;viole;visiteremo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 341-350;caldo;calma;canta;canzone;cascata;corregge;dolce;farfalle;fetta;grigliate;insegnante;lampi;limpido;mangiato;palazzi;pesto;profumato;scattano;servito;temporale;tuoni;visto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 351-360;acquerelli;alti;amore;carne;colorate;colori;cotta;dipingono;ed;farò;forno;gente;italiana;legna;matematica;milano;nei;olio;oliva;panchine;perfetto;poche;risotto;roma;sabato;scienze;strade;trovato;viva;vivaci;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 361-370;albergo;assistito;avventure;bagnate;burro;camere;camminano;dà;fantastici;fatti;gentile;impegni;mancano;meravigliosa;ombrello;orizzonte;parla;personaggi;pomodoro;portano;ravioli;salsa;scolastiche;spaziose;suona;teatrale;vista;zia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 371-380;abbigliamento;bella;caffetterie;cartoleria;colonna;coperta;coprono;domande;fa;interesse;mano;morbida;negozi;piovere;posta;rispondono;romantico;rossi;saltano;scritto;scurisce;silenzioso;sonora;spedita;tempera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 381-390;api;asciuga;cambia;camion;coccinelle;corn;festeggiato;giochi;laboriose;pensieri;pettina;pop;spiaggia;stato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 391-400;accogliente;ambiente;cassetto;decorata;dietro;forbici;gomme;guardano;guida;offre;radio;siedono;soffice;tipici;tramonta;trenino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 401-410;amica;bene;chiude;ciotola;cuoco;fantastico;fumetto;gesso;invitarla;mescola;nella;prendono;telefona;terrazza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 411-420;aereo;aeroporto;decolla;internazionale;nove;padrone;rosse;scalda;segue;stira;viso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 421-430;cerca;comodino;cuffie;dipinge;libreria;monta;muove;paesaggio;tela;tende;tornano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 431-440;africa;azzurro;cibo;mobile;nascondino;scava;sistema;stanza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 441-450;cartella;castelli;cioccolato;conchiglie;costruiscono;fragola;gioia;raccolgono;siede;stellato;tram;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 451-460;allegria;attraversa;brevi;colline;esercita;illustrano;melodia;passando;pianoforte;pittoreschi;prova;raccontando;romanzi;sdraia;spezie;verdi;verifica;villaggi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 461-470;aggiusta;attraverso;azione;coda;colpi;concentrazione;davanzale;effetti;esame;finale;girasoli;illumina;nipote;pazienza;rose;scena;speciali;stende;toast;tulipani;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 471-480;bici;circostanti;cono;coperte;creano;crema;detersivo;disponibili;fiabe;gocciola;innevato;mette;neve;nocciole;pagelle;pedala;prestito;pulizia;pupazzi;riflette;sale;scioglie;trimestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 481-490;accende;aroma;crostata;esce;favola;gomitolo;incontrare;lanterna;lasagne;nipoti;nonna;notturno;posate;pozzanghere;riempie;servita;spasso;sulle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 491-500;arcobaleno;attenzione;chiusa;cuoce;errori;estive;figlio;lascia;pallavolo;pianta;raffreddare;rilassante;sorge;spruzza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 501-510;abbia;allora;anche;ascoltarmi;avete;bisogno;cambiato;chiavi;credi;davvero;delle;detto;devi;dove;entro;esperienze;finire;giudicare;hai;hanno;io;lei;lui;madre;male;molta;mostri;niente;possa;possiamo;pronti;questa;sbagliato;se;sei;senza;siete;signore;so;stasera;successo;tante;tu;verità;vita;vuole;;;;;;;;;;;;;;;;;;;;
Linha 511-520;accomodi;agire;altro;attesa;cancellata;capisca;certo;chi;cosa;così;cui;deciso;dobbiamo;dovremmo;frase;grazie;intendevi;lì;me;meglio;nessuna;nostra;partire;posso;prego;preoccuparci;puoi;pure;quanto;quella;ragione;signora;situazione;spiegarmi;spostato;stata;sto;te;venire;voglio;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 521-530;accettare;ammettere;anni;colpa;come;devo;dispiace;disponibile;ehi;farà;genere;idea;malinteso;ne;nessuno;oh;padre;partirai;penserà;quanti;questo;risposta;sapere;sbaglio;scorsa;stai;trentacinque;tuo;vuoi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 531-540;altra;altre;ascoltare;certa;ciao;conosciuto;credo;decisione;eri;gentili;giusto;incredibile;mai;modo;nulla;opinioni;paola;parleremo;piovendo;presento;rimanere;sentito;sia;siamo;sistemare;spetta;sta;ti;trovarci;trovare;tutte;venuto;voi;volta;vorrei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 541-550;accettabili;anno;attento;attraversi;chiaro;comportamenti;dai;ecco;essere;firmare;molti;partito;progressi;qualcosa;quel;quest;relax;risolverà;spiegato;sì;tali;vostro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
