ID,Frase_PT,Frase_IT,Score
99,99. Penduramos os desenhos na geladeira.,99. Appendiamo i disegni sul frigorifero.,0
100,100. Dizemos boa noite e vamos dormir.,100. Diciamo buonanotte e andiamo a dormire.,0
101,101. Acordo cedo e preparo o café da manhã.,101. Mi sveglio presto e preparo la colazione.,0
102,102. Hoje é um dia especial no trabalho.,102. Oggi è una giornata speciale per il lavoro.,0
103,103. Visto um traje elegante para um encontro importante.,103. Indosso un abito elegante per un incontro importante.,0
104,104. Chego ao escritório com alguns minutos de antecedência.,104. Arrivo in ufficio con qualche minuto di anticipo.,0
105,105. Cumprimento o diretor e os outros colegas.,105. Saluto il direttore e gli altri colleghi.,-1
106,106. Participamos de uma reunião estratégica.,106. Partecipiamo a una riunione strategica.,-1
107,107. Discutimos novos projetos e ideias inovadoras.,107. Discutiamo nuovi progetti e idee innovative.,1
108,108. Tomamos notas e planejamos as atividades.,108. Prendiamo appunti e pianifichiamo le attività.,0
109,"109. Terminada a reunião, respondo muitos e-mails.","109. Finita la riunione, rispondo a molte e-mail",1
110,110. Preparo uma apresentação para o cliente.,110. Preparo una presentazione per il cliente.,1
111,111. Revejo os dados e verifico a precisão/exatidão.,111. Rivedo i dati e controllo la correttezza.,0
112,112. Mando a apresentação para a equipe dar feedback.,112. Mando la presentazione al team per un feedback.,1
113,113. Almoço com uma salada e um suco de fruta.,113. Pranzo con un’insalata e un succo di frutta.,0
114,114. Falo ao telefone com um parceiro comercial.,114. Parlo al telefono con un partner commerciale.,0
115,115. Organizo uma viagem de trabalho para a próxima semana.,115. Organizzo un viaggio di lavoro per la settimana prossima.,0
116,116. Verifico o calendário e confirmo as datas.,116. Controllo il calendario e confermo le date.,0
117,117. Escrevo um relatório para o chefe de setor.,117. Scrivo un report per il capo ufficio.,0
118,118. Faço uma pausa para o café com os colegas.,118. Faccio una pausa caffè con i colleghi.,0
119,119. Discutimos os próximos eventos da empresa.,119. Discutiamo dei prossimi eventi aziendali.,-1
120,120. Volto à mesa e finalizo um documento.,120. Torno alla scrivania e finalizzo un documento.,0
121,121. Envio as últimas comunicações antes de sair.,121. Invio le ultime comunicazioni prima di uscire.,0
122,122. Me despeço de todos e desligo o computador.,122. Saluto tutti e spengo il computer.,1
123,123. Pego o ônibus para voltar para casa.,123. Prendo l’autobus per tornare a casa.,-1
124,124. Me relaxo ouvindo música durante a viagem.,124. Mi rilasso ascoltando musica durante il viaggio.,0
125,125. Chego em casa e encontro a família reunida.,125. Arrivo a casa e trovo la famiglia riunita.,0
126,126. Ajudo as crianças com a lição de casa.,126. Aiuto i bambini con i compiti di scuola.,0
127,127. Cozinho o jantar com ingredientes frescos.,127. Cucino la cena con ingredienti freschi.,0
128,128. Jantamos todos juntos e contamos sobre o dia.,128. Ceniamo tutti insieme e raccontiamo la giornata.,-1
129,"129. Depois do jantar, assistimos a um programa na TV.","129. Dopo cena, guardiamo un programma in TV.",0
130,130. Leio um livro de ficção antes de dormir.,130. Leggo un libro di narrativa prima di dormire.,0
131,131. Apago a luz e fecho os olhos.,131. Spengo la luce e chiudo gli occhi.,0
132,132. Adormeço pensando em novos sonhos.,132. Mi addormento pensando a nuovi sogni.,-1
133,133. Acordo renovado e pronto para começar.,133. Mi sveglio rinfrescato e pronto per iniziare.,0
134,134. Preparo um café da manhã reforçado (energético).,134. Preparo una colazione energetica.,0
135,135. Saio de casa para uma corrida matinal.,135. Esco di casa per una corsa mattutina.,0
136,136. Corro no parque próximo e respiro ar puro.,136. Corro nel parco vicino e respiro aria fresca.,1
137,137. Volto para casa e tomo um banho quente.,137. Torno a casa e faccio una doccia calda.,1
138,138. Visto roupas leves e confortáveis.,138. Indosso abiti comodi e leggeri.,1
139,139. Leio as notícias online enquanto tomo café.,139. Leggo le notizie online mentre bevo il caffè.,0
140,140. Respondo mensagens e ligo para um amigo.,140. Rispondo a messaggi e telefono a un amico.,0
141,141. Faço compras no mercado do bairro.,141. Faccio la spesa al mercato del quartiere.,0
142,142. Escolho frutas frescas e legumes da estação.,142. Scelgo frutta fresca e verdure di stagione.,0
143,143. Volto para casa e preparo um almoço saudável.,143. Torno a casa e preparo un pranzo salutare.,0
144,144. Convido um vizinho para o almoço.,144. Invito un vicino per pranzo.,0
145,145. Passamos uma tarde agradável conversando.,145. Passiamo un pomeriggio piacevole a chiacchierare.,-1
146,"146. Ajudo as crianças a prepararem um trabalho (trabalhinho, manual) criativo.",146. Aiuto i bambini a preparare un lavoretto creativo.,0
147,147. Organizamos a casa para a festa do fim de semana.,147. Organizziamo la casa per la festa del weekend.,0
148,148. Escrevo convites e preparo uma lista de convidados.,148. Scrivo inviti e preparo una lista degli ospiti.,0
149,149. Visito o jardim e rego as plantas.,149. Visito il giardino e innaffio le piante.,0
150,150. Me relaxo no sofá lendo uma revista.,150. Mi rilasso sul divano leggendo una rivista.,0
151,"151. À noite, preparamos uma pizza caseira.","151. La sera, prepariamo una pizza fatta in casa.",-1
152,152. Comemos rindo e compartilhando histórias.,152. Mangiamo ridendo e condividendo storie.,-1
153,153. Assistimos a um filme comovente juntos.,153. Guardiamo un film commovente insieme.,1
154,"154. Antes de dormir, faço meditação.","154. Prima di dormire, faccio meditazione.",0
155,155. Fecho os olhos e me concentro na respiração.,155. Chiudo gli occhi e mi concentro sul respiro.,0
156,156. Adormeço tranquilo e sereno.,156. Mi addormento tranquillo e sereno.,0
157,157. Acordo com o sol entrando pela janela.,157. Mi sveglio con il sole che entra dalla finestra.,0
158,158. Preparo o café da manhã com pão fresco e geleia.,158. Preparo la colazione con pane fresco e marmellata.,1
159,159. Organizo o dia de trabalho.,159. Organizzo la giornata lavorativa.,0
160,160. Faço uma videochamada com colegas do exterior.,160. Faccio una videochiamata con colleghi all’estero.,0
161,161. Compartilhamos ideias e projetos futuros.,161. Condividiamo idee e progetti futuri.,0
162,162. Escrevo um artigo para o boletim da empresa.,162. Scrivo un articolo per la newsletter aziendale.,1
163,163. Almoço com uma salada leve.,163. Pranzo con un’insalata leggera.,0
164,164. Respondo e-mails urgentes e ligo para um cliente.,164. Rispondo a e-mail urgenti e telefono a un cliente.,1
165,165. Programo uma reunião para a semana seguinte.,165. Programmo una riunione per la settimana successiva.,-1
166,166. Termino o trabalho e preparo a bolsa da academia.,166. Finisco il lavoro e preparo la borsa per la palestra.,0
167,167. Vou correr e faço exercícios de alongamento.,167. Vado a correre e faccio esercizi di stretching.,1
168,168. Volto para casa e tomo um banho refrescante.,168. Torno a casa e faccio una doccia rinfrescante.,0
169,"169. Preparo um jantar rápido, mas gostoso.",169. Preparo una cena veloce ma gustosa.,0
170,170. Passo a noite com a família jogando.,170. Passo la serata con la famiglia a giocare.,-1
171,171. Conto uma história para as crianças antes de dormir.,171. Racconto una storia ai bambini prima di dormire.,1
172,172. Apago as luzes e relaxo no sofá.,172. Spengo le luci e mi rilasso sul divano.,0
173,173. Leio algumas páginas de um livro interessante.,173. Leggo qualche pagina di un libro interessante.,-1
174,174. Vou dormir com um sorriso.,174. Vado a dormire con un sorriso.,0
175,175. Acordo e começo um novo dia com energia.,175. Mi sveglio e inizio una nuova giornata con energia.,0
176,176. Preparo o café da manhã e tomo um café.,176. Preparo la colazione e bevo un caffè.,0
177,177. Saio para fazer uma caminhada matinal.,177. Esco a fare una passeggiata mattutina.,0
178,178. Cumprimento os vizinhos e caminho pelo bairro.,178. Saluto i vicini e cammino nel quartiere.,-1
179,179. Visito uma loja local e compro pão.,179. Visito un negozio locale e compro del pane.,-1
180,180. Volto para casa e arrumo a cozinha.,180. Torno a casa e sistemo la cucina.,0
181,181. Me dedico a um hobby criativo à tarde.,181. Mi dedico a un hobby creativo nel pomeriggio.,0
182,182. Escrevo uma carta para um amigo distante.,182. Scrivo una lettera a un amico lontano.,0
183,183. Leio uma revista de viagens e sonho com novas destinações.,183. Leggo una rivista di viaggi e sogno nuove destinazioni.,1
184,184. Preparo um jantar especial para a família.,184. Preparo una cena speciale per la famiglia.,0
185,185. Jantamos juntos e brindamos à saúde.,185. Mangiamo insieme e brindiamo alla salute.,0
186,186. Olhamos as estrelas da janela do quarto.,186. Guardiamo le stelle dalla finestra della camera.,0
187,187. Conto anedotas engraçadas e rimos muito.,187. Racconto aneddoti divertenti e ridiamo molto.,0
188,188. Faço uma caminhada noturna pelo bairro.,188. Faccio una passeggiata serale nel quartiere.,-1
189,189. Volto para casa e me preparo para dormir.,189. Torno a casa e mi preparo per dormire.,0
190,190. Leio algumas páginas de um romance policial.,190. Leggo qualche pagina di un romanzo giallo.,0
191,191. Apago a luz e fecho os olhos.,191. Spengo la luce e chiudo gli occhi.,1
192,192. Adormeço pensando em dias felizes.,192. Mi addormento pensando a giorni felici.,0
193,193. Acordo com o canto dos pássaros.,193. Mi sveglio con il canto degli uccelli.,0
194,194. Preparo o café da manhã e tomo um suco de fruta.,194. Preparo la colazione e bevo un succo di frutta.,0
195,195. Saio para uma corrida no parque próximo.,195. Esco per una corsa nel parco vicino.,1
196,196. Volto para casa e faço alongamento.,196. Torno a casa e faccio stretching.,0
197,197. Leio um livro enquanto tomo um chá.,197. Leggo un libro mentre bevo una tisana.,0
198,198. Preparo o almoço para a família.,198. Preparo il pranzo per la famiglia.,0
199,199. Passamos a tarde juntos brincando.,199. Passiamo il pomeriggio insieme a giocare.,0
200,"200. À noite, vamos dormir tranquilos e felizes.","200. La sera, andiamo a dormire sereni e felici.",0
201,"201. A menina veste um vestido vermelho, um colar elegante e caminha com os sapatos novos no parque.","201. La bambina indossa un vestito rosso, una collana elegante e cammina con le scarpe nuove nel parco.  ",1
202,202. O professor explica a lição enquanto os alunos escutam atentamente e escrevem no quadro.,202. Il professore spiega la lezione mentre gli studenti ascoltano attentamente e scrivono sulla lavagna.  ,0
203,"203. Meus amigos estão alegres e falam sobre esportes, férias e a viagem para a montanha.","203. I miei amici sono allegri e parlano di sport, vacanze e del viaggio in montagna.  ",0
204,"204. Na cozinha há a geladeira, a mesa posta com pratos, copos e uma sopa quente.","204. In cucina ci sono il frigorifero, la tavola apparecchiata con piatti, bicchieri e una zuppa calda.  ",0
205,"205. Vamos ao museu, depois ao cinema e por fim jantamos no restaurante em frente à fonte.","205. Andiamo al museo, poi al cinema e infine ceniamo nel ristorante davanti alla fontana.  ",0
206,206. Na próxima segunda-feira encontrarei o médico no hospital perto do supermercado.,206. Lunedì prossimo incontrerò il medico nell’ospedale vicino al supermercato.  ,0
207,"207. O cachorro corre no jardim, pula no banco e late feliz para a galinha.","207. Il cane corre nel giardino, salta sulla panchina e abbaia felice alla gallina.  ",0
208,"208. Hoje está ensolarado e o céu está limpo, mas amanhã estará nublado e talvez chova.","208. Oggi c’è il sole e il cielo è sereno, ma domani sarà nuvoloso e forse pioverà.  ",0
209,"209. Paolo é forte, inteligente e generoso, enquanto Marco é sensível(leva tudo a mal), nervoso e desatento.","209. Paolo è forte, intelligente e generoso, mentre Marco è permaloso, nervoso e disattento.  ",0
210,"210. Sobre a mesa havia uma maçã, uma laranja, geleia de morango e pão fresco.","210. Sul tavolo c’erano una mela, un’arancia, marmellata di fragole e pane fresco.  ",0
211,"211. Estou com fome, com frio e um pouco cansado após uma longa caminhada à beira do mar.","211. Ho fame, ho freddo e sono un po’ stanco dopo una lunga passeggiata al mare.  ",0
212,"212. O carro está estacionado ao lado da escola, sob a palmeira perto da biblioteca.","212. La macchina è parcheggiata accanto alla scuola, sotto la palma vicino alla biblioteca.  ",0
213,"213. Marta acorda, se veste com uma camiseta azul e se prepara para ir ao escritório.","213. Marta si sveglia, si veste con una maglietta blu e si prepara per andare in ufficio.  ",0
214,214. As crianças jogam futebol com entusiasmo enquanto os pais as observam da varanda.,214. I bambini giocano a calcio con entusiasmo mentre i genitori li osservano dal balcone.  ,0
215,"215. Na sala de estar há um sofá confortável, uma luminária moderna e a televisão ligada.","215. Nel soggiorno ci sono un divano comodo, una lampada moderna e la televisione accesa.  ",0
216,"216. Durante o inverno usamos casaco, cachecol, luvas e botas quentes.","216. Durante l’inverno indossiamo cappotto, sciarpa, guanti e stivali caldi.  ",0
217,217. O turista pede indicações para a estação ferroviária e passa em frente à prefeitura.,217. Il turista chiede indicazioni per la stazione ferroviaria e passa davanti al municipio.  ,0
218,"218. O trem parte às oito, chega ao centro histórico e para perto da catedral.","218. Il treno parte alle otto, arriva al centro storico e si ferma vicino alla cattedrale.  ",0
219,"219. A biblioteca está cheia de livros interessantes, prateleiras altas e uma escrivaninha elegante.","219. La biblioteca è piena di libri interessanti, mensole alte e una scrivania elegante.  ",0
220,"220. Após o almoço, o garçom traz a sobremesa, um copo de suco e um café.","220. Dopo il pranzo, il cameriere porta il dessert, un bicchiere di succo e un caffè.  ",1
221,"221. Minha irmã ama natação, ginástica e vai frequentemente à piscina com os amigos.","221. Mia sorella ama il nuoto, la ginnastica e va spesso in piscina con gli amici.  ",0
222,"222. Estou usando calças largas, suéter verde e sapatos elegantes para o aniversário.","222. Indosso pantaloni larghi, maglione verde e scarpe eleganti per il compleanno.  ",0
223,"223. No mercado vendem-se tomates, abobrinhas, queijos, pão e mel natural.","223. Al mercato si vendono pomodori, zucchine, formaggi, pane e miele naturale.  ",0
224,"224. O arquiteto trabalha em seu estúdio, desenha edifícios modernos e projetos originais.","224. L’architetto lavora nel suo studio, disegna edifici moderni e progetti originali.  ",0
225,"225. A garota é tímida, mas muito curiosa, ama ler e escrever histórias profundas.","225. La ragazza è timida, ma molto curiosa, ama leggere e scrivere storie profonde.  ",0
226,"226. O avô é idoso, sábio e conta lembranças do campo e da guerra.","226. Il nonno è anziano, saggio e racconta ricordi della campagna e della guerra.  ",1
227,"227. No museu há estátuas antigas, pinturas famosas e uma exposição de fotografia.","227. Nel museo ci sono statue antiche, dipinti famosi e una mostra di fotografia.  ",1
228,"228. O tempo está variável: esta manhã chovia, agora faz sol e depois vai nevar.","228. Il tempo è variabile: stamattina pioveva, adesso c’è il sole e poi nevicherà.  ",1
229,229. A fonte no centro da praça está cheia de turistas com câmeras fotográficas.,229. La fontana al centro della piazza è affollata di turisti con macchine fotografiche.  ,0
230,"230. A pia está suja, a cozinha está cheia de gente e alguém deixou a faca fora do lugar.","230. Il lavandino è sporco, la cucina è affollata e qualcuno ha lasciato il coltello fuori posto.",0
231,231. O menino constrói uma torre com blocos coloridos e sorri.,231. Il bambino costruisce una torre con i blocchi colorati e sorride.  ,0
232,"232. A mãe prepara uma salada fresca, corta os legumes e despeja o tempero.","232. La mamma prepara un’insalata fresca, taglia le verdure e versa il condimento.  ",0
233,233. À noite olhamos as estrelas da varanda e escutamos música suave.,233. La sera guardiamo le stelle dal balcone e ascoltiamo la musica soft.  ,0
234,234. À tarde passeamos ao longo do rio e tomamos um sorvete.,234. Nel pomeriggio passeggiamo lungo il fiume e mangiamo un gelato.  ,-1
235,"235. Os garotos tocam violão, cantam músicas italianas e dançam.","235. I ragazzi suonano la chitarra, cantano canzoni italiane e ballano.  ",0
236,236. O gato dorme na poltrona enquanto chove lá fora.,236. Il gatto dorme sulla poltrona mentre fuori piove.  ,0
237,"237. A camisa está branca, passada e pronta para a reunião de amanhã.","237. La camicia è bianca, stirata e pronta per la riunione di domani.  ",0
238,"238. No pátio há uma bicicleta, um balanço e um banco de madeira.","238. Nel cortile ci sono una bicicletta, un’altalena e una panchina di legno.  ",1
239,"239. Comprei uma jaqueta nova, um chapéu elegante e uma gravata vermelha.","239. Ho comprato una giacca nuova, un cappello elegante e una cravatta rossa.  ",0
240,240. Durante a aula de arte pintamos paisagens e formas abstratas.,240. Durante la lezione di arte dipingiamo paesaggi e forme astratte.  ,0
241,"241. O menino come uma maçã, bebe suco e ri com o avô.","241. Il bambino mangia una mela, beve succo e ride con il nonno.  ",0
242,242. No domingo iremos à montanha fazer um piquenique e fotografar a natureza.,242. Domenica andremo in montagna per fare un picnic e fotografare la natura.  ,0
243,"243. Os jovens são alegres, faladores e sempre cheios de energia.","243. I giovani sono allegri, chiacchieroni e sempre pieni di energia.  ",0
244,"244. O filme é interessante, bem feito e com atores famosos.","244. Il film è interessante, ben fatto e con attori famosi.  ",0
245,"245. Hoje me sinto feliz, curioso e pronto para aprender novas palavras.","245. Oggi mi sento felice, curioso e pronto ad imparare nuove parole.  ",0
246,"246. O tempo está bom, o sol brilha e o ar está fresco.","246. Il tempo è sereno, il sole brilla e l’aria è fresca.  ",0
247,"247. Na sala há almofadas coloridas, uma mesa redonda e um tapete macio.","247. Nel salotto ci sono cuscini colorati, una tavola rotonda e un tappeto morbido.  ",0
248,"248. Na carteira havia livros, cadernos, canetas e uma garrafa de água.","248. Sul banco c’erano libri, quaderni, penne e una bottiglia d’acqua.  ",0
249,"249. A garota usa uma saia longa, um colar dourado e óculos de sol.","249. La ragazza indossa una gonna lunga, una collana dorata e occhiali da sole.  ",-1
250,"250. O professor é calmo, inteligente e explica com grande clareza.","250. Il professore è calmo, intelligente e spiega con grande chiarezza.  ",0
251,"251. Visitamos(passado) a catedral, o museu e passeamos pelo centro histórico.","251. Abbiamo visitato la cattedrale, il museo e passeggiato nel centro storico.  ",0
252,"252. As crianças desenham animais, flores e árvores usando lápis de cor.","252. I bambini disegnano animali, fiori e alberi usando pastelli colorati.  ",0
253,"253. O cachorro brinca com a bola, pula e corre no gramado.","253. Il cane gioca con la palla, salta e corre nel prato.  ",0
254,"254. No café da manhã comemos pão, geleia, ovos e tomamos café.","254. A colazione mangiamo pane, marmellata, uova e beviamo caffè.  ",0
255,"255. O supermercado está cheio: há mães, crianças e pessoas idosas.","255. Il supermercato è affollato: ci sono mamme, bambini e persone anziane.  ",0
256,"256. O ar está úmido, o céu está cinza e a chuva está chegando.","256. L’aria è umida, il cielo è grigio e arriva la pioggia.  ",1
257,"257. No restaurante servem pizza, massa, sobremesas e vinho tinto.","257. Nel ristorante si serve pizza, pasta, dolci e vino rosso.  ",0
258,"258. O mar está azul, calmo e veem-se barcos ao longe.","258. Il mare è blu, calmo e si vedono le barche lontane.  ",1
259,259. A fonte em frente à igreja está iluminada e cercada de flores.,259. La fontana davanti alla chiesa è luminosa e circondata da fiori.  ,0
260,"260. Fizemos um passeio de barco, visitamos as ilhas e nadamos no mar.","260. Abbiamo fatto una gita in barca, visitato le isole e nuotato nel mare.  ",0
261,"261. O menino escreve seu próprio nome, colore uma casa e sorri.","261. Il bambino scrive il proprio nome, colora una casa e sorride.  ",0
262,"262. Estou usando botas, cachecol e casaco para me proteger do frio.","262. Indosso stivali, sciarpa e cappotto per proteggermi dal freddo.  ",0
